,RTK_signalling,proliferation,mTOR_signalling,apoptosis
BaselTMA_SP41_186_X5Y4_783,0.317496400415106,0.9496248223519934,0.4071641065889077,0.39234949162794036
BaselTMA_SP41_186_X5Y4_2069,0.6444420908360677,0.634323483284339,0.6468149142661325,0.6330790130403743
BaselTMA_SP41_141_X11Y2_2159,0.48167205849320177,0.8423292999858949,0.6090247432206037,0.5908965400960932
BaselTMA_SP41_129_X7Y8_1460,0.789037760261192,0.778308755473205,0.9130462756594766,0.6215828044285234
BaselTMA_SP41_11_X13Y7_4434,0.9408081453775343,0.5045657700076324,0.9639889317809092,0.7239387020312058
BaselTMA_SP41_203_X8Y8_1690,0.928492852115993,0.5800047322133148,0.9811678863849422,0.7585530100386648
BaselTMA_SP41_191_X15Y7_3242,0.8428501285502802,0.768535146065326,0.9450636805064837,0.725314756819442
BaselTMA_SP41_106_X2Y9_1894,0.8659078057497382,0.6895785113455722,0.962581425319511,0.7046860785229927
BaselTMA_SP41_112_X5Y8_1944,0.9593329043309012,0.5338063567738868,0.9735619553063305,0.7876267835912838
BaselTMA_SP41_11_X13Y7_2486,0.8408027916193499,0.738815060118734,0.9583858859679799,0.7134461970401587
BaselTMA_SP41_100_X15Y5_2376,0.9216199309220999,0.587726384475093,0.9822094576620097,0.7499806354020283
BaselTMA_SP41_134_X3Y8_1484,0.9071021047767458,0.6120975747422271,0.9812624883537393,0.7386492761454232
BaselTMA_SP41_14_X1Y8_978,0.79994647188282,0.8110307752336916,0.7950614850674157,0.5872780162692107
BaselTMA_SP41_203_X8Y8_2532,0.9085244516887326,0.631336742857399,0.9676686007181949,0.7511455100009247
BaselTMA_SP41_186_X5Y4_1448,0.73022780966513,0.8401935563522124,0.8303268945979547,0.6473252488075488
BaselTMA_SP41_133_X3Y6_3169,0.9417875947051213,0.5083866868015429,1.0,0.8044124968285259
BaselTMA_SP41_126_X14Y7_637,0.9535342656249489,0.5428227045539509,0.9964665482125972,0.7929399125927041
BaselTMA_SP41_153_X7Y5_316,0.6475168372299158,0.8163887779051547,0.644122165900938,0.5251679875876055
BaselTMA_SP41_100_X15Y5_3182,0.9562162752640873,0.475267510991313,0.9471400850438011,0.7292380695724002
BaselTMA_SP41_104_X8Y4_175_1418,0.9539498854103686,0.3682129365144746,0.9782905647564721,0.8937668875996562
BaselTMA_SP41_191_X15Y7_4,0.8845976630140503,0.6586378494769884,0.9837276610024771,0.7335352932845284
BaselTMA_SP41_126_X14Y7_390,0.9860303172361092,0.46640912056147205,0.9566208973936158,0.7892745042321493
BaselTMA_SP41_135_X8Y5_15,0.848395086846682,0.6635741715469687,0.9363894257521935,0.6453337664855222
BaselTMA_SP41_135_X8Y5_3269,0.9326720530291621,0.5332976234294362,0.9711516955222596,0.7300693203953457
BaselTMA_SP41_186_X5Y4_2055,0.79439828246075,0.7763597680412307,0.8180027031760889,0.6273177255531899
BaselTMA_SP41_166_X15Y4_2203,0.8679087898414615,0.7232129520382665,0.9598491753381967,0.7453549987330191
BaselTMA_SP41_100_X15Y5_1530,0.9882947948504436,0.4566752219525483,0.9526939065073443,0.7856129665204524
BaselTMA_SP41_186_X6Y4_501,0.9564710849291278,0.5271768877528183,0.9690818292581774,0.7751739527063679
BaselTMA_SP41_133_X3Y6_3842,0.8699284167151282,0.41155858254959216,0.9160328052134744,0.7857598477320296
BaselTMA_SP41_14_X1Y8_294,0.8639389339490104,0.6542170614268384,0.8406189352038757,0.6535802190420855
BaselTMA_SP41_101_X10Y8_1109,0.8895013444787155,0.6568051455469314,0.9625414501094285,0.7325145158209929
BaselTMA_SP41_165_X5Y6_151,0.9481249077408093,0.5452837952820326,0.9806407264661295,0.7748002888850298
BaselTMA_SP41_114_X13Y4_1057,0.881551432927461,0.4470017473540503,0.8990080030828951,1.0
BaselTMA_SP41_141_X11Y2_2596,0.767853353934209,0.6848471476026509,0.8567732652719334,0.7220459645355987
BaselTMA_SP41_100_X15Y5_170,0.9529773290758339,0.548220158898451,0.9778985866220806,0.7861694006359576
BaselTMA_SP41_14_X1Y8_2604,0.8362411994298711,0.6926172166191192,0.9082564852125949,0.7008674704600536
BaselTMA_SP41_186_X5Y4_81,0.6916978133183869,0.7191789182185242,0.7050115316884291,0.6600712745008948
